"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Djawad Karoni","990","0","France","FR","6797","2","5","5","0","3","55","1","4","434","1","6","194516"
"2","Matthieu Prudhomme","990","0","France","FR","7122","1","4","4","0","3","39","1","4","360","1","6","129428"
"3","Bekir Karaca","921","0","International Club","TR","4032","7","6","11","0","2","66","1","4","509","0","7","76357"
"4","Efkan Birkiye","921","0","International Club","DE","5536","7","6","11","0","2","183","1","4","979","0","7","76350"
"5","Francois Siegwald","820","0","France","FR","4502","8","3","7","0","1","78","2","4","334","0","6","78217"
"6","Bastien da Silva","754","0","France","FR","3280","6","5","7","9","2","104","2","4","414","0","11","370250"
"7","Michel Aerts","746","0","Benelux","BE","5216","7","2","5","0","0","93","1","4","431","0","6","239213"
"8","Cristian Macrelli3","695","0","Italy","IT","2664","6","4","10","0","0","194","2","4","806","0","14","401983"
"9","Chris McGrath","689","0","Canada","CA","5396","9","2","9","0","1","86","1","4","539","0","10","185844"
"10","Antonin Titus","685","0","France","FR","5384","7","2","5","0","0","58","1","4","351","0","9","215134"
"11","Thibaut WARGNY","685","0","France","FR","4376","8","2","6","0","0","92","1","4","412","0","9","408746"
"12","Dimitry Pinault","684","0","France","FR","3298","2","5","5","40","3","79","3","4","461","0","4","376824"
"13","Arnaud Vantaggi","684","0","France","FR","3882","1","4","4","40","3","56","2","4","325","0","4","434084"
"14","Simon Hertneky","665","0","Central-Eastern Europe","SK","3595","6","4","6","7","0","58","2","4","450","0","14","379264"
"15","Tom K Hallums","664","0","UK and I","GB","3810","5","3","4","1","0","17","2","4","268","0","17","236770"
"16","Guillaume Jobard","662","0","France","FR","4750","9","2","7","0","0","77","1","4","450","0","12","258169"
"17","Maxime Mariotte","662","0","France","FR","4503","10","2","7","0","0","87","1","4","329","0","12","497790"
"18","Arkadiusz Neumann2","661","0","Central-Eastern Europe","PL","5343","6","3","4","0","0","13","1","4","228","0","7","98583"
"19","Maciej Mlynek","661","0","Central-Eastern Europe","PL","6594","6","3","4","0","0","17","1","4","216","0","7","398214"
"20","Jakub Wyderka","661","0","Central-Eastern Europe","PL","5697","6","3","4","0","0","36","1","4","193","0","7","359587"
"21","Joe Zarkos","650","0","UK and I","GB","3330","6","3","5","94","2","36","2","4","221","0","6","358368"
"22","Jeffrey C Langerak","650","0","Benelux","NL","3111","6","3","5","148","2","69","2","4","470","0","6","376461"
"23","Lars Moldenhauer","648","0","DE-AT-CH","DE","4087","8","2","5","0","0","57","1","4","427","0","11","166246"
"24","Patrick Marx","648","0","DE-AT-CH","DE","3888","8","2","5","0","0","71","1","4","459","0","11","36057"
"25","Ludovic Juret","643","0","France","FR","2817","6","3","5","0","1","55","2","4","245","0","10","285275"
"26","Nicolas Bellet","620","0","France","FR","3068","5","5","6","0","0","115","2","4","452","0","6","305737"
"27","Dominik Hofmann","618","0","DE-AT-CH","AT","6784","3","4","5","0","2","44","1","3","418","1","7","334578"
"28","Daniel Alves Lourenco","618","0","DE-AT-CH","DE","5115","3","4","5","0","2","79","2","3","317","1","7","467986"
"29","Thomas Corriger","603","0","France","FR","2733","8","3","9","0","0","95","2","4","517","0","9","335977"
"30","Javier Soto","601","0","Iberia","ES","3577","9","1","7","1","0","103","2","4","557","1","4","79868"
"31","Dan Neice","582","0","Indiana","US","2606","6","3","6","72","1","89","2","4","560","1","12","139923"
"32","Andrea Abbati","582","0","Italy","IT","3017","9","4","8","26","0","55","2","4","364","2","8","394899"
"33","Fabio Milani","582","0","Italy","IT","3343","10","4","9","13","0","99","2","4","491","3","7","80744"
"34","Uwe Seiler","578","0","DE-AT-CH","DE","2875","7","4","6","0","0","43","2","4","324","0","5","173571"
"35","Luca Storms","578","0","DE-AT-CH","DE","3485","7","4","6","39","0","55","2","4","498","0","5","227964"
"36","Christoph Holstein","573","0","DE-AT-CH","CH","5119","8","2","5","0","0","38","1","4","176","2","4","255080"
"37","Cyril Blondiau","570","0","Benelux","BE","2817","11","2","8","0","0","127","2","4","455","0","11","295287"
"38","Deletraz Alexandre","562","0","France","FR","3350","10","2","8","0","1","141","2","4","565","0","9","309591"
"39","Argenis Riera2","555","0","International Club","VE","4223","10","2","7","0","0","53","2","4","466","0","12","208193"
"40","Riley Hawkins","549","0","Florida","US","2306","8","3","6","165","2","77","3","4","409","0","6","317035"
"41","Alessandro Barbagallo","549","0","Italy","IT","3386","8","3","6","119","2","92","2","4","530","0","6","486135"
"42","marcel van den Berg2","549","0","Benelux","NL","4003","8","2","7","0","0","94","2","4","566","0","11","370606"
"43","Elias Hrebik","547","0","DE-AT-CH","AT","3318","9","2","6","0","0","56","2","4","336","1","7","381536"
"44","René Aures","547","0","DE-AT-CH","DE","3620","9","2","6","0","0","74","2","4","501","1","7","370028"
"45","Valentin Barraud","546","0","France","FR","3365","6","4","7","45","1","64","2","4","666","1","8","336159"
"46","Ruslan Bairamkulov","543","0","Central-Eastern Europe","US","4394","9","3","4","0","0","65","1","3","334","0","9","187404"
"47","Mark Zuidhof","539","0","Benelux","NL","3533","6","1","5","0","0","39","2","4","350","0","11","297495"
"48","Joakim Kjøde","538","0","Scandinavia","NO","2519","9","3","7","35","0","86","3","4","550","0","8","245577"
"49","Sveinung Mathisen","538","0","Scandinavia","NO","2085","9","3","7","9","0","125","3","4","457","0","8","433879"
"50","Bruno Correia","533","0","Iberia","GI","4095","4","2","3","0","2","57","2","3","389","0","7","380094"
"51","Valter Mendes","532","0","Iberia","PT","2379","8","2","6","0","0","111","3","4","551","0","13","265255"
"52","Michael M Meier","530","0","France","FR","4453","9","2","9","22","0","135","1","4","662","0","8","293434"
"53","Thomas Imbourg","529","0","France","FR","5253","7","2","5","0","2","75","1","4","401","2","6","414547"
"54","Luká? P?áda","528","0","Central-Eastern Europe","CZ","5822","6","2","3","0","0","38","1","3","275","0","7","279166"
"55","Yoann Sarzynski","526","0","France","FR","4411","9","1","5","0","1","107","1","3","457","0","11","31327"
"56","Roberto Villegas","525","0","West","US","2373","10","4","8","4","0","81","3","4","514","0","13","323837"
"57","Tyler Botma","525","0","West","US","3132","11","4","9","34","0","101","2","4","481","0","14","323199"
"58","Pavel Mory Moravec","524","0","Central-Eastern Europe","CZ","2549","8","2","6","0","0","41","2","4","301","0","8","345027"
"59","Andrea Ramacciotti","523","0","Italy","IT","3287","8","2","7","0","0","84","2","4","510","0","12","71368"
"60","Patrick McDaniel","520","0","Carolina","US","2112","7","2","4","0","0","26","3","4","243","0","16","31255"
"61","Stephane Henriques","518","0","France","FR","1151","8","3","7","43","1","86","2","4","484","0","18","324933"
"62","David NARBONNE","518","0","France","FR","1291","8","3","7","53","1","183","2","4","773","0","18","311045"
"63","Christian Steenburgh","511","0","Atlantic","US","3664","7","3","4","78","1","39","2","4","256","3","1","346040"
"64","Calum Wright","511","0","UK and I","GB","3769","7","3","5","0","0","59","2","4","344","0","17","310516"
"65","Luc Barbantan","509","0","France","FR","4202","11","1","6","0","1","63","1","4","359","0","12","175259"
"66","Dennis Scholing","506","0","Benelux","NL","2612","6","4","5","92","0","51","3","4","345","0","4","379071"
"67","Tom Valcik","505","0","Central-Eastern Europe","CZ","2803","8","2","5","4","0","78","3","4","284","0","6","299038"
"68","Vladimir Marchevsky","502","0","Central-Eastern Europe","UA","2220","12","2","6","1","0","89","3","4","358","0","14","109334"
"69","Vincent van Geffen","497","0","Benelux","NL","2694","6","3","5","41","0","72","2","4","371","0","5","369256"
"70","Thomas Gerhardt","493","0","DE-AT-CH","DE","1661","4","3","4","41","2","44","4","4","170","0","21","310760"
"71","Fabian Hari","493","0","DE-AT-CH","CH","3167","4","3","4","206","2","84","2","4","532","0","21","310745"
"72","Simon Pickering","493","0","UK and I","GB","3659","5","2","3","0","0","10","2","3","252","0","13","306536"
"73","William Dyer","493","0","UK and I","GB","4251","5","2","3","0","0","42","1","3","322","0","13","73519"
"74","Magnus Andersson4","492","0","Scandinavia","SE","2581","9","2","7","9","0","56","2","4","356","2","9","390860"
"75","Filipe Silveira","491","0","Iberia","VI","3646","10","1","5","0","1","61","2","4","407","0","8","365418"
"76","Thomas MIRAULT","491","0","France","FR","2315","6","3","6","1","0","94","3","4","460","1","7","450507"
"77","Baptiste Serres","487","0","France","FR","3357","10","2","6","0","1","96","2","4","335","0","7","376458"
"78","Vincent Martin2","483","0","France","FR","2526","11","1","7","0","1","85","2","4","380","0","10","352967"
"79","Louann Hernandez","481","0","France","FR","3183","5","2","3","12","0","39","2","3","210","1","4","474826"
"80","Lucas Adam","480","0","Benelux","BE","2725","9","2","5","0","0","58","2","4","262","0","11","435388"
"81","Otmar Pinner","479","0","DE-AT-CH","DE","2954","10","1","8","28","1","71","2","4","498","0","10","361935"
"82","Colin Bell","479","0","New England","US","2803","11","2","7","0","0","113","3","4","409","0","11","362824"
"83","Eric C Fox","477","0","Carolina","US","1798","8","3","6","69","1","49","4","4","376","0","8","379025"
"84","Tony Maley","477","0","Illinois","US","2691","8","3","6","28","1","104","2","4","556","0","8","401924"
"85","Charles Goulesque","475","0","France","FR","3166","8","2","5","0","1","84","2","4","291","0","7","378461"
"86","Daniel Sztymon","474","0","Central-Eastern Europe","GB","2067","11","2","10","26","0","89","4","4","541","0","8","343742"
"87","Sebastian Samedow","473","0","DE-AT-CH","DE","4237","7","1","5","0","0","50","1","4","544","0","11","195982"
"88","Justin Richesin","471","0","West","US","5341","10","1","5","0","1","34","1","3","217","0","12","46442"
"89","Fabien Masset","470","0","France","FR","2167","7","2","4","1","0","69","3","4","335","1","9","283424"
"90","David Henger","469","0","Great Plains","US","2990","11","2","8","10","0","64","2","4","548","0","13","111030"
"91","Melvin van de Pol","468","0","Benelux","NL","2383","8","4","6","27","1","51","3","4","281","0","7","377578"
"92","Mateusz ?uczak","468","0","Central-Eastern Europe","PL","7040","6","3","4","0","0","93","1","3","288","0","10","397020"
"93","Danielo Filomena","467","0","DE-AT-CH","DE","2906","7","2","4","0","0","36","2","4","390","1","9","329349"
"94","Julian Ignacio Longo","467","0","Hispanoamérica","AR","3496","7","2","4","0","0","50","1","4","289","0","13","72098"
"95","Mathias Merlano","467","0","Hispanoamérica","UY","3480","7","2","4","0","0","63","2","4","349","0","13","267074"
"96","Charly Damerval","465","0","France","FR","3206","8","2","5","0","1","45","2","4","287","0","10","330721"
"97","Marcel Raupach","463","0","DE-AT-CH","DE","3585","12","1","6","0","0","89","1","4","392","0","11","331836"
"98","Daniel Serrano7","462","0","Iberia","ES","2469","8","2","4","31","1","37","2","4","361","1","15","397978"
"99","Ruben couso","462","0","Iberia","ES","3043","8","2","4","40","1","53","2","4","335","1","15","332331"
"100","Garren Batten","462","0","Australia/NZ","AU","2736","9","2","10","30","1","61","3","4","542","0","11","451719"
"101","Edward Shelley","462","0","DE-AT-CH","DE","2884","9","2","10","41","1","81","2","4","641","0","11","43598"
"102","Simon VERNIER","460","0","France","FR","2960","4","3","3","2","0","41","2","3","295","0","11","343212"
"103","Jean Banbois","460","0","France","BE","2560","4","3","3","5","0","43","2","3","181","0","11","387259"
"104","Alex Mackinder","460","0","Canada","CA","2400","8","0","4","0","0","35","3","4","370","0","18","321511"
"105","Rylan Potter","460","0","Canada","CA","3332","8","0","4","0","0","61","2","4","313","0","18","288214"
"106","Renan Moura Bueno","459","0","Brazil","BR","2653","5","2","3","0","0","29","2","3","229","0","9","359593"
"107","Ailton Andrade","459","0","Brazil","BR","3396","5","2","3","0","0","30","2","3","228","0","9","106946"
"108","Sven Kupferer","458","0","DE-AT-CH","DE","2988","9","2","4","0","1","67","2","4","209","2","5","348706"
"109","Bob Blonk","456","0","Benelux","NL","2096","4","3","4","12","1","24","3","4","270","0","10","313301"
"110","Ronald Streicher","455","0","Central-Eastern Europe","SK","3564","9","1","5","3","0","68","1","4","381","0","5","342681"
"111","Jacob Smith","452","0","Indiana","US","3258","5","2","3","0","0","2","2","3","242","0","12","69371"
"112","Richard Gafencu","452","0","International Club","GB","5542","6","2","4","0","0","54","1","3","298","0","6","266690"
"113","Danilo Hopfmann","447","0","DE-AT-CH","DE","3676","8","2","4","0","0","22","2","3","188","0","11","383055"
"114","Milo? Pavlovic","447","0","DE-AT-CH","DE","2759","9","1","4","0","0","31","2","4","266","0","9","262562"
"115","Michael Greinig","447","0","DE-AT-CH","DE","4176","9","1","4","0","0","37","1","4","354","0","9","262878"
"116","Benjamin J Brown","446","0","UK and I","GB","2152","8","2","6","0","0","120","3","4","445","0","8","329323"
"117","Christian Kelly","446","0","UK and I","GB","2532","8","2","6","3","0","122","3","4","610","0","8","383798"
"118","Rodrigo Lisowiski","446","0","Brazil","BR","3978","10","1","7","0","0","58","1","4","359","1","11","253559"
"119","Eric Grove","445","0","UK and I","GB","4582","9","1","4","0","1","56","1","3","264","0","4","342865"
"120","Marcos Eberhardt","445","0","Brazil","BR","2011","13","1","6","33","1","26","3","4","231","0","9","44390"
"121","Cristian Pereira","445","0","Brazil","BR","2718","13","1","6","42","1","147","2","4","451","0","9","309500"
"122","kevin De Wael","444","0","Benelux","BE","3186","10","1","6","4","0","85","2","4","429","0","22","341522"
"123","Thomas Leysen","442","0","Benelux","BE","1653","11","5","8","75","2","90","3","4","372","1","11","512325"
"124","Jordy GM Willems","438","0","Benelux","NL","1502","8","3","5","0","0","26","4","4","115","0","8","362005"
"125","Twan Bolwiender","438","0","Benelux","NL","1859","8","3","5","1","0","50","3","4","268","0","8","362554"
"126","Tom Berendsen","438","0","Benelux","NL","3595","8","3","5","5","0","59","2","4","367","0","8","71427"
"127","Olivier Verhaegen8","435","0","Benelux","BE","2039","8","3","6","8","1","103","3","4","575","0","14","530732"
"128","Roland Renhart2","435","0","DE-AT-CH","AT","2660","8","1","6","14","1","103","2","4","437","0","9","274555"
"129","Manfred Marinkovits","435","0","DE-AT-CH","AT","2277","8","1","6","63","1","142","3","4","467","0","9","284322"
"130","Jacob Worden","434","0","Texas","US","2656","5","2","3","2","0","29","3","3","189","1","13","351925"
"131","Fedde Venekamp","434","0","Benelux","NL","2438","12","1","7","0","0","75","2","4","609","0","13","156796"
"132","Andre Martins","434","0","Iberia","GB","2609","15","1","11","4","0","132","2","4","622","0","12","67843"
"133","Sergio Gurdiel Ferreiro2","433","0","Iberia","HK","4600","2","2","2","0","0","12","1","2","130","0","13","219119"
"134","Ruben Luque Nogales","433","0","Iberia","HK","5004","2","2","2","0","0","26","1","2","166","0","13","265204"
"135","Pete Tinkler","430","0","UK and I","GB","2961","13","1","6","0","0","52","2","4","308","0","14","23480"
"136","Michael Hüper","430","0","DE-AT-CH","DE","2848","13","1","6","0","0","91","2","4","416","0","14","347491"
"137","Alexandre G Santos","428","0","Iberia","PT","2801","12","1","7","29","0","38","3","4","323","0","12","293151"
"138","Fernando M Ferreira","428","0","Iberia","US","2745","12","1","7","62","0","59","3","4","432","0","12","132292"
"139","Kirill Lobanov","427","0","Central-Eastern Europe","RU","2560","9","0","5","0","0","49","3","4","388","0","13","364137"
"140","Vladislav Polyakov","427","0","Central-Eastern Europe","RU","2419","9","0","5","2","0","85","2","4","351","0","13","324552"
"141","James Crenshaw","426","0","Florida","US","1717","4","3","4","41","1","21","4","4","254","0","15","391595"
"142","Ben Idris Abdillahi","426","0","France","FR","2303","4","3","4","81","1","70","3","4","436","0","15","398267"
"143","david Flamant","425","0","France","FR","2876","12","2","6","0","0","42","3","4","260","0","18","342014"
"144","Pierre-Alain Matonnat","425","0","France","FR","2652","12","2","6","12","0","58","2","4","373","0","18","217659"
"145","Nicolas Ehrlich Roso","422","0","Hispanoamérica","AR","3299","11","1","6","55","0","107","2","4","523","0","8","294768"
"146","Chaussonnet Vincent","422","0","France","FR","3992","12","0","6","0","0","47","2","4","424","0","12","385353"
"147","Alain Baume","422","0","Benelux","BE","3009","12","0","6","0","0","80","2","4","488","0","12","444146"
"148","Nick K Anderson","421","0","Michigan","US","1829","13","3","7","59","0","73","3","4","238","2","6","340696"
"149","Miguel Angel Sanchez Rodriguez","419","0","Iberia","ES","2651","8","2","5","0","0","115","3","4","440","0","12","353745"
"150","Borja Fernandez Guimerans2","419","0","Iberia","ES","2903","10","2","7","0","0","132","2","4","507","0","11","201356"
"151","Gary Thomas","419","0","UK and I","GB","2320","10","1","9","0","0","70","2","4","534","0","11","211925"
"152","Everett Paddock","419","0","Midwest","US","4522","10","1","6","0","0","76","1","4","424","0","9","17727"
"153","Teo Bubicic","417","0","Central-Eastern Europe","US","2953","13","2","7","53","1","82","2","4","451","1","8","43865"
"154","Nikola Simunovic","417","0","Central-Eastern Europe","HR","2381","14","2","8","32","1","137","3","4","606","1","9","505035"
"155","Valentin Mandernach","417","0","France","FR","7005","3","2","2","0","0","19","1","2","188","0","6","427776"
"156","Travis Wahl","415","0","West","US","3178","6","2","3","0","0","32","1","3","263","0","6","301045"
"157","Alex Jeuringa","414","0","Benelux","NL","3751","14","2","6","131","0","107","2","4","390","2","5","431863"
"158","Loic Barbe","413","0","France","FR","5514","6","2","3","0","2","18","1","3","174","2","4","146886"
"159","Emi Stang","412","0","Hispanoamérica","AR","2592","12","0","7","17","0","92","2","4","517","0","10","419941"
"160","Maxi Stang","412","0","Hispanoamérica","AR","2589","12","0","8","0","0","131","2","4","441","0","12","396164"
"161","Corey Murphy","411","0","New England","US","2405","10","3","5","30","0","72","2","4","319","0","12","364048"
"162","Henri Toivonen","411","0","Finland","FI","2732","10","3","5","46","0","79","2","4","324","0","12","88421"
"163","Rémy LeLouarne","410","0","France","FR","3140","8","2","4","7","0","31","2","4","299","0","8","192856"
"164","Richard Steven","410","0","France","FR","2374","8","2","4","38","0","42","2","4","227","2","4","398229"
"165","Owen Jolivet","410","0","France","FR","3259","8","2","4","40","0","47","2","4","222","2","4","376099"
"166","Wes van Dijk","405","0","Benelux","NL","3566","8","2","5","109","0","118","2","4","395","2","8","494583"
"167","Robert Towler","404","0","UK and I","GB","3118","9","2","5","168","2","85","3","4","459","2","9","293157"
"168","Lee Miller","404","0","UK and I","GB","1654","9","2","5","30","2","113","5","4","269","2","9","327527"
"169","Dmitriy Linev","404","0","Central-Eastern Europe","RU","3719","12","1","4","0","0","45","1","4","188","0","16","182490"
"170","Esteban Monteros Cid","403","0","Florida","US","3169","7","2","4","45","0","25","2","4","272","1","8","355911"
"171","Chris M Bell","402","0","UK and I","GB","4158","7","1","3","0","0","61","1","3","168","0","9","247507"
"172","Timo Heyden","399","0","DE-AT-CH","DE","6056","3","2","2","0","1","13","1","2","150","1","6","295310"
"173","Felipe Ruiz","398","0","Hispanoamérica","CL","5486","9","1","3","0","0","71","1","3","265","0","7","351822"
"174","Cédric Argot","398","0","France","FR","3174","12","1","7","34","0","38","2","4","314","0","11","399002"
"175","Loic Zabé","398","0","France","FR","2568","12","1","7","0","0","72","2","4","469","0","11","111170"
"176","Richard B. Stone","396","0","UK and I","GB","2159","13","3","8","53","1","104","3","4","444","1","15","354802"
"177","Harry Brooks","395","0","UK and I","IE","4118","7","2","3","0","1","20","2","3","63","2","1","452904"
"178","Daniel J Thomas","395","0","UK and I","GB","4459","9","2","4","0","1","14","1","4","83","2","2","451825"
"179","Glenn-André Key2","395","0","Scandinavia","NO","3992","9","2","4","0","1","27","3","4","213","2","2","541121"
"180","Jason Marechal","395","0","France","FR","2481","11","2","5","9","1","45","2","4","232","0","8","111913"
"181","Jai Potts","395","0","Australia/NZ","AU","2690","10","0","5","0","0","53","3","4","253","0","13","21423"
"182","Jason Bence","395","0","Australia/NZ","AU","4825","11","0","5","0","0","55","1","4","265","0","13","94647"
"183","Lars Veling","393","0","Benelux","NL","2541","3","3","4","68","1","62","2","3","347","0","7","412489"
"184","Manu Chacon","391","0","Iberia","ES","840","12","0","7","2","0","107","4","4","454","0","13","279426"
"185","Sergi Real Llopart","391","0","Iberia","ES","3605","12","0","7","12","0","129","2","4","612","0","13","382703"
"186","Steve Ghayouri","389","0","California Club","US","2784","8","2","4","77","1","32","2","4","389","0","12","283341"
"187","Richard Hennetier","388","0","France","FR","3767","10","2","7","0","1","58","2","4","299","0","7","345630"
"188","Lasse Nielsen3","388","0","Scandinavia","DK","2074","11","2","5","0","0","62","3","4","414","0","12","360977"
"189","Marian Brabec","388","0","Central-Eastern Europe","CZ","3879","12","1","7","0","0","91","1","4","533","0","6","220947"
"190","Pedro Sanchez Albert","387","0","Iberia","HK","7043","7","1","3","0","0","15","1","3","161","0","3","352506"
"191","Jose Miguel Fernandez Andreu","387","0","Iberia","ES","4798","7","1","3","0","0","16","1","3","128","0","3","333709"
"192","Oliver Brandt","385","0","Scandinavia","DK","4194","8","2","5","0","1","63","2","3","326","0","8","59872"
"193","Dave Schwartz","385","0","California Club","US","3071","9","1","5","0","0","32","3","4","208","0","14","379283"
"194","Daniel Stam","385","0","Benelux","NL","1835","11","1","6","0","0","53","3","4","310","0","14","354993"
"195","Danilo Bozzelli","384","0","Italy","CH","2010","14","1","6","0","0","75","3","4","353","0","14","304813"
"196","Luca Becker","383","0","Benelux","LU","4618","3","2","2","0","0","24","2","2","200","0","7","343276"
"197","John-Taylor Tami","380","0","California Club","US","2161","12","0","5","0","0","40","3","4","356","0","16","41078"
"198","Shawn Campbell","380","0","Illinois","US","2562","15","0","6","0","0","94","2","4","464","0","17","20551"
"199","Claudio Greco","379","0","Italy","IT","3862","3","2","2","0","0","18","2","2","140","0","15","432350"
"200","Corentin Coulot","378","0","France","FR","4220","10","1","5","0","1","20","1","3","144","0","11","326122"
"201","Ty Keveth","378","0","UK and I","GB","3530","9","1","4","0","0","27","2","4","149","0","8","305893"
"202","Simon Jacobsen","377","0","Scandinavia","DK","3979","3","2","2","0","0","23","2","2","125","0","14","321829"
"203","Nick N Brown","377","0","UK and I","GB","2418","7","1","4","1","0","43","3","3","213","0","20","343123"
"204","Roy Maas","376","0","Benelux","NL","2017","8","2","5","0","0","61","3","4","453","0","10","356429"
"205","Casper Engels","376","0","Benelux","BE","2324","8","2","5","1","0","63","3","4","417","0","10","296870"
"206","Christian Wagner7","375","0","DE-AT-CH","AT","1719","5","3","4","0","0","98","7","4","303","0","13","350066"
"207","Gintautas Pucilauskas","375","0","Central-Eastern Europe","LT","1987","9","3","5","35","0","82","4","4","381","0","13","298999"
"208","Arthur Figueiredo","374","0","Brazil","BR","3023","11","1","5","0","0","28","2","4","117","1","11","239405"
"209","Jan Cie?la","373","0","Central-Eastern Europe","PL","1427","9","2","7","15","1","125","5","4","451","0","14","513124"
"210","Pete Thickett","373","0","New England","US","2476","11","1","4","0","0","61","3","4","332","0","15","30456"
"211","Mikah Barnett","373","0","Northwest","US","3010","11","1","4","0","0","66","2","4","327","0","15","106737"
"212","Trevor Blackburn","373","0","UK and I","GB","1973","11","1","11","0","0","135","3","4","732","0","17","91899"
"213","Joao Nascimento","371","0","Iberia","VI","2484","9","1","4","0","0","37","2","4","200","0","8","301748"
"214","Randy Shewmake","371","0","Texas","US","1773","12","1","10","0","0","49","3","4","475","0","17","119166"
"215","Diogo Quaresma","369","0","Iberia","US","3065","11","0","4","0","0","90","2","3","286","0","9","54483"
"216","Claudio Visparelli","368","0","Benelux","LU","2721","8","1","3","0","0","76","2","3","307","0","18","423200"
"217","Jaroslaw Kolman","367","0","Central-Eastern Europe","PL","2509","10","2","7","80","1","78","2","4","578","0","15","291309"
"218","Carlos Paixão Barbosa","367","0","Iberia","PT","2515","12","1","8","88","1","79","2","4","534","1","13","150126"
"219","Istvan Steve Rudas","367","0","Central-Eastern Europe","HU","2533","6","3","4","0","0","13","2","4","226","0","12","226029"
"220","David Kovacs","367","0","Central-Eastern Europe","HU","2477","9","3","5","0","0","46","3","4","192","0","11","228542"
"221","Adam Gazsi","367","0","Central-Eastern Europe","RO","1552","9","3","5","1","0","60","4","4","282","0","11","552970"
"222","Jerome Haag","367","0","France","FR","5278","9","0","4","0","0","29","1","3","199","0","6","85527"
"223","Thoma Alexander","366","0","DE-AT-CH","DE","2348","3","4","5","258","3","116","4","4","476","2","2","401895"
"224","Michal Sembera","366","0","Central-Eastern Europe","CZ","1860","14","2","8","0","0","63","3","4","342","0","12","428280"
"225","Steve Bammer","366","0","Illinois","US","2002","13","1","6","1","0","67","4","4","367","0","11","15838"
"226","Florian Beunaiche","365","0","France","FR","2474","13","1","6","0","1","57","2","4","218","0","14","133933"
"227","Matthias Bergmann","364","0","DE-AT-CH","DE","1768","9","2","5","5","1","83","4","4","391","0","16","530875"
"228","Roger Barrancos","364","0","Iberia","ES","2903","11","0","4","0","0","18","2","4","259","0","10","351750"
"229","David Dendelot","360","0","Benelux","BE","3399","11","1","8","1","1","141","2","4","577","1","10","256997"
"230","Travis C Mehlinger","360","0","Great Plains","US","2462","8","2","4","15","0","84","5","4","415","0","14","355298"
"231","Tom J Jones","360","0","UK and I","GB","1911","8","2","4","21","0","90","4","4","255","0","14","293236"
"232","Christopher Hamer","357","0","UK and I","GB","2266","8","2","5","4","1","56","3","3","268","1","7","488575"
"233","Steffen Müller","355","0","DE-AT-CH","DE","1466","9","3","5","92","2","52","4","4","258","2","6","453652"
"234","Pedro Jose Luis Buyones","355","0","Hispanoamérica","AR","2821","5","2","2","0","0","10","2","2","68","0","5","212529"
"235","Marcos Núñez","355","0","Iberia","HK","7131","5","2","2","0","0","12","1","2","139","0","5","300973"
"236","Fernando Moreno","355","0","Iberia","ES","3211","5","2","2","0","0","16","2","2","81","0","5","356483"
"237","Mika Takala","355","0","Finland","FI","3918","11","1","5","0","0","19","1","3","196","0","12","222088"
"238","Jukka Tainio","355","0","Finland","FI","2541","11","1","6","2","0","40","2","3","297","0","12","99859"
"239","Dave Guild","353","0","UK and I","GB","2547","9","2","5","115","1","75","4","4","428","2","8","326575"
"240","Alexander Kreiber","353","0","DE-AT-CH","DE","2406","12","1","6","9","1","82","3","4","401","0","9","431692"
"241","Jason Proctor","353","0","DE-AT-CH","DE","1606","10","1","5","4","0","35","4","4","326","0","17","379518"
"242","Dave South","353","0","UK and I","GB","1834","10","1","5","0","0","54","3","4","340","0","17","210993"
"243","Sebastien Hary","353","0","France","FR","2586","13","1","6","0","0","66","2","4","277","0","13","63374"
"244","Lhuillier Matthieu","351","0","France","FR","2126","11","2","8","44","1","94","5","4","556","0","17","503542"
"245","thorsten Zorn","351","0","DE-AT-CH","DE","2139","11","2","5","49","0","65","4","4","400","0","9","516895"
"246","Simon Rendl","350","0","DE-AT-CH","AT","2419","12","1","4","3","0","66","2","4","234","0","9","374933"
"247","Roldan Rodriguez","349","0","Iberia","ES","2878","4","1","2","0","0","17","3","2","164","1","2","528755"
"248","Jannik Boekhoff","349","0","DE-AT-CH","DE","5361","10","1","3","0","0","35","1","3","151","0","9","282699"
"249","Andy Whíte","348","0","Iberia","ES","4079","8","2","3","118","2","45","3","3","286","0","5","428690"
"250","Andres Blanco","348","0","Iberia","ES","4664","10","2","4","40","2","41","2","3","127","0","9","330932"
"251","Daniel Alvaréz","348","0","Iberia","ES","3060","10","2","4","71","2","71","3","3","172","0","9","417812"
"252","Marek Babjak","348","0","Central-Eastern Europe","SK","1882","15","2","6","0","0","55","4","4","243","0","13","335612"
"253","Fernando Teixeira","348","0","Brazil","BR","3298","9","1","4","0","0","54","2","4","289","0","12","374882"
"254","Joao F Magalhaes","345","0","UK and I","GB","3174","11","2","4","76","0","55","2","4","216","0","12","425035"
"255","Joseph Cupani","345","0","France","FR","2227","12","0","5","0","0","62","3","4","335","0","15","35863"
"256","David Kazerty","345","0","France","FR","2650","15","0","6","0","0","49","2","4","307","0","17","266372"
"257","Cristian Facheris","342","0","Italy","IT","2113","10","3","8","8","0","67","5","4","511","1","10","380042"
"258","Andrew Pyke","342","0","Canada","CA","3651","7","2","3","0","0","14","1","2","148","0","4","271453"
